cod;nome;período;valor
43;RS;1998;3.61
42;SC;1998;2.75
41;PR;1998;3.82
33;RJ;1998;7.89
32;ES;1998;11.2
31;MG;1998;2.33
29;BA;1998;1.55
28;SE;1998;1.51
27;AL;1998;3.27
26;PE;1998;7.12
25;PB;1998;2.37
24;RN;1998;1.49
23;CE;1998;1.56
22;PI;1998;1.44
21;MA;1998;1.11
17;TO;1998;3.51
16;AP;1998;5.74
15;PA;1998;2.36
14;RR;1998;9.5
13;AM;1998;4.14
12;AC;1998;4.72
11;RO;1998;7.28
35;SP;1999;6.18
41;PR;1999;3.86
42;SC;1999;1.96
43;RS;1999;3.22
50;MS;1999;6.25
51;MT;1999;6.18
52;GO;1999;4.83
53;DF;1999;5.85
22;PI;1999;0.5
21;MA;1999;0.99
17;TO;1999;2.89
16;AP;1999;7.78
15;PA;1999;1.34
14;RR;1999;11.6
13;AM;1999;3.97
12;AC;1999;2.68
11;RO;1999;6.05
33;RJ;1999;7.58
32;ES;1999;8.67
31;MG;1999;2.54
29;BA;1999;1.34
28;SE;1999;4.58
27;AL;1999;3.96
23;CE;1999;2.5
26;PE;1999;6.76
25;PB;1999;1.95
24;RN;1999;1.77
50;MS;2000;6.75
11;RO;2000;6.69
12;AC;2000;4.49
13;AM;2000;2.52
14;RR;2000;13.53
15;PA;2000;2
16;AP;2000;1.62
17;TO;2000;2.75
21;MA;2000;1.09
22;PI;2000;0.94
23;CE;2000;2.72
24;RN;2000;1.51
25;PB;2000;2.43
26;PE;2000;7.39
27;AL;2000;4.34
28;SE;2000;3.97
29;BA;2000;1.95
31;MG;2000;2.72
32;ES;2000;7.05
33;RJ;2000;7.05
35;SP;2000;5.98
41;PR;2000;3.32
42;SC;2000;1.93
43;RS;2000;3.31
51;MT;2000;6.47
52;GO;2000;5.49
53;DF;2000;3.76
11;RO;2001;9.29
12;AC;2001;4.02
13;AM;2001;3.76
14;RR;2001;4.14
15;PA;2001;3
16;AP;2001;4.66
17;TO;2001;3.88
21;MA;2001;1.81
22;PI;2001;2.33
23;CE;2001;2.88
24;RN;2001;1.62
25;PB;2001;2.45
26;PE;2001;6.92
27;AL;2001;3.61
28;SE;2001;3.27
29;BA;2001;1.79
31;MG;2001;2.57
32;ES;2001;8.11
33;RJ;2001;7.29
35;SP;2001;5.64
41;PR;2001;3.95
42;SC;2001;2.14
43;RS;2001;3.37
50;MS;2001;5.9
51;MT;2001;7.2
52;GO;2001;4.97
53;DF;2001;3.93
32;ES;2002;9.02
53;DF;2002;4.36
52;GO;2002;5.39
51;MT;2002;7.05
50;MS;2002;6.98
43;RS;2002;3.68
42;SC;2002;2.63
41;PR;2002;4.04
35;SP;2002;5.32
33;RJ;2002;7.13
31;MG;2002;3.1
29;BA;2002;1.78
28;SE;2002;3.84
27;AL;2002;4.62
26;PE;2002;6.37
25;PB;2002;2.48
24;RN;2002;1.53
23;CE;2002;3.11
22;PI;2002;1.78
21;MA;2002;1.29
17;TO;2002;3.31
16;AP;2002;4.48
15;PA;2002;2.21
14;RR;2002;6.85
13;AM;2002;2.34
12;AC;2002;3.57
11;RO;2002;6.19
11;RO;2003;7.07
12;AC;2003;4.73
13;AM;2003;2.29
14;RR;2003;3.31
15;PA;2003;2.76
16;AP;2003;5.4
17;TO;2003;3.57
21;MA;2003;2.25
22;PI;2003;2.08
23;CE;2003;2.53
24;RN;2003;2.11
25;PB;2003;1.87
26;PE;2003;6.3
27;AL;2003;4.37
28;SE;2003;3.47
29;BA;2003;2.19
31;MG;2003;3.92
32;ES;2003;8.42
33;RJ;2003;6.64
35;SP;2003;5.14
41;PR;2003;4.45
42;SC;2003;2.42
43;RS;2003;3.27
50;MS;2003;5.7
51;MT;2003;6.76
52;GO;2003;5.22
53;DF;2003;5.27
11;RO;2004;4.51
12;AC;2004;3.06
13;AM;2004;3.14
14;RR;2004;3.73
15;PA;2004;2.7
16;AP;2004;5.21
17;TO;2004;2.87
21;MA;2004;1.7
22;PI;2004;1.68
23;CE;2004;2.98
24;RN;2004;1.36
25;PB;2004;3.18
26;PE;2004;6.28
27;AL;2004;4.83
28;SE;2004;2.91
29;BA;2004;2.78
31;MG;2004;3.86
32;ES;2004;8.08
33;RJ;2004;6.3
35;SP;2004;4.25
41;PR;2004;4.84
42;SC;2004;2.69
43;RS;2004;3.58
50;MS;2004;4.82
51;MT;2004;7.29
52;GO;2004;5.09
53;DF;2004;4.32
23;CE;2005;3.42
11;RO;2005;6.61
12;AC;2005;3.87
13;AM;2005;3.01
14;RR;2005;5.68
15;PA;2005;3.62
16;AP;2005;5.04
17;TO;2005;3.28
21;MA;2005;1.83
22;PI;2005;2.56
24;RN;2005;2.63
25;PB;2005;3.26
26;PE;2005;6.34
27;AL;2005;4.71
28;SE;2005;2.77
29;BA;2005;2.99
31;MG;2005;3.86
32;ES;2005;8.67
33;RJ;2005;6.25
35;SP;2005;3.78
41;PR;2005;4.6
42;SC;2005;2.28
43;RS;2005;3.82
50;MS;2005;6.03
51;MT;2005;6.42
52;GO;2005;4.68
53;DF;2005;3.81
31;MG;2006;3.98
29;BA;2006;3.42
28;SE;2006;3.9
27;AL;2006;6.68
26;PE;2006;6.9
25;PB;2006;3.23
24;RN;2006;2.66
21;MA;2006;2.08
22;PI;2006;2.03
32;ES;2006;10.52
53;DF;2006;3.88
17;TO;2006;3.38
16;AP;2006;4.23
15;PA;2006;3.91
14;RR;2006;6.5
13;AM;2006;3.26
12;AC;2006;4.35
11;RO;2006;6.8
33;RJ;2006;6.15
35;SP;2006;3.8
41;PR;2006;4.75
42;SC;2006;3.04
43;RS;2006;2.95
50;MS;2006;4.67
51;MT;2006;4.95
23;CE;2006;3.17
52;GO;2006;4.95
24;RN;2007;2.63
11;RO;2007;3.69
22;PI;2007;2.2
21;MA;2007;1.93
17;TO;2007;4.23
16;AP;2007;3.79
15;PA;2007;3.95
14;RR;2007;9.21
13;AM;2007;3.13
12;AC;2007;5.08
53;DF;2007;4.26
52;GO;2007;4.73
51;MT;2007;6.59
50;MS;2007;5.6
43;RS;2007;3.49
42;SC;2007;2.28
41;PR;2007;4.56
35;SP;2007;2.84
33;RJ;2007;5.03
32;ES;2007;10.57
31;MG;2007;4.07
29;BA;2007;3.48
28;SE;2007;3.27
27;AL;2007;6.8
26;PE;2007;6.39
25;PB;2007;3.56
23;CE;2007;2.95
17;TO;2008;3.12
21;MA;2008;2.45
22;PI;2008;2.37
23;CE;2008;2.71
24;RN;2008;3.65
25;PB;2008;4.46
26;PE;2008;6.51
43;RS;2008;3.95
27;AL;2008;5.13
28;SE;2008;2.85
53;DF;2008;4.86
29;BA;2008;4.38
42;SC;2008;2.76
41;PR;2008;5.75
35;SP;2008;3.14
33;RJ;2008;4.47
32;ES;2008;10.67
52;GO;2008;5.36
31;MG;2008;3.78
51;MT;2008;5.86
50;MS;2008;4.94
11;RO;2008;5.08
12;AC;2008;3.58
13;AM;2008;3.72
14;RR;2008;7.05
15;PA;2008;4.55
16;AP;2008;3.98
50;MS;2009;5.27
11;RO;2009;6.57
12;AC;2009;4.3
13;AM;2009;3.87
14;RR;2009;10.95
15;PA;2009;4.76
16;AP;2009;3.57
17;TO;2009;4.53
21;MA;2009;2.6
22;PI;2009;1.92
23;CE;2009;3.16
24;RN;2009;3.48
25;PB;2009;4.99
26;PE;2009;6.57
27;AL;2009;6.8
28;SE;2009;3.37
29;BA;2009;4.77
31;MG;2009;4
32;ES;2009;11.99
33;RJ;2009;4.15
35;SP;2009;3.08
41;PR;2009;6.16
42;SC;2009;2.95
43;RS;2009;4.04
51;MT;2009;6.29
52;GO;2009;5.45
53;DF;2009;5.64
21;MA;2010;3.46
17;TO;2010;4.89
16;AP;2010;4.62
15;PA;2010;6
14;RR;2010;4.87
13;AM;2010;3.69
12;AC;2010;4.99
11;RO;2010;4.72
53;DF;2010;4.8
52;GO;2010;5.92
51;MT;2010;5.26
50;MS;2010;6.07
43;RS;2010;4.06
42;SC;2010;3.44
41;PR;2010;6.24
35;SP;2010;3.13
33;RJ;2010;3.98
32;ES;2010;9.54
31;MG;2010;4.04
29;BA;2010;6.02
28;SE;2010;3.97
27;AL;2010;8.32
26;PE;2010;5.29
25;PB;2010;6.01
24;RN;2010;4.29
23;CE;2010;3.92
22;PI;2010;2.46
29;BA;2011;6.13
17;TO;2011;6.95
16;AP;2011;5.35
15;PA;2011;4.77
14;RR;2011;4.33
13;AM;2011;4.51
12;AC;2011;4.64
11;RO;2011;6.04
31;MG;2011;4.48
53;DF;2011;5.66
52;GO;2011;8.38
51;MT;2011;5.65
50;MS;2011;6.15
43;RS;2011;3.59
42;SC;2011;2.28
41;PR;2011;5.18
35;SP;2011;2.65
33;RJ;2011;4.27
32;ES;2011;9.04
22;PI;2011;1.96
23;CE;2011;4.25
24;RN;2011;4.54
25;PB;2011;7.03
26;PE;2011;5.55
27;AL;2011;8.32
28;SE;2011;5.48
21;MA;2011;3.84
21;MA;2012;3.32
17;TO;2012;6.86
16;AP;2012;4.68
15;PA;2012;5.87
14;RR;2012;7.19
13;AM;2012;6.45
12;AC;2012;4.05
11;RO;2012;6.34
22;PI;2012;2.8
23;CE;2012;4.89
24;RN;2012;3.79
25;PB;2012;6.85
26;PE;2012;4.56
27;AL;2012;7.97
28;SE;2012;5.6
29;BA;2012;5.93
31;MG;2012;4.48
32;ES;2012;8.71
33;RJ;2012;4.23
35;SP;2012;2.89
41;PR;2012;5.83
42;SC;2012;3.16
43;RS;2012;4.37
50;MS;2012;6
51;MT;2012;6.41
52;GO;2012;7.77
53;DF;2012;5.43
53;DF;2013;5.42
31;MG;2013;4.13
29;BA;2013;5.71
28;SE;2013;5
27;AL;2013;8.46
26;PE;2013;5.37
25;PB;2013;6.28
24;RN;2013;5.22
23;CE;2013;6.16
22;PI;2013;2.85
21;MA;2013;3.79
17;TO;2013;5.52
16;AP;2013;5.11
15;PA;2013;5.78
14;RR;2013;14.87
13;AM;2013;5.15
12;AC;2013;7.97
11;RO;2013;6.38
32;ES;2013;9.02
33;RJ;2013;4.46
35;SP;2013;2.78
41;PR;2013;5.1
42;SC;2013;3.06
43;RS;2013;3.7
50;MS;2013;5.77
51;MT;2013;5.75
52;GO;2013;8.39
43;RS;2014;4.38
11;RO;2014;6.78
12;AC;2014;4.9
13;AM;2014;4.21
14;RR;2014;9.69
15;PA;2014;6.15
16;AP;2014;5.26
17;TO;2014;4.77
21;MA;2014;4.37
22;PI;2014;3.81
23;CE;2014;6.27
24;RN;2014;5.93
25;PB;2014;5.8
26;PE;2014;4.97
27;AL;2014;7.4
28;SE;2014;6.54
29;BA;2014;5.17
31;MG;2014;3.87
32;ES;2014;7.29
33;RJ;2014;5.31
35;SP;2014;2.72
41;PR;2014;5.07
42;SC;2014;3.28
50;MS;2014;6.45
51;MT;2014;6.92
52;GO;2014;8.83
53;DF;2014;4.11
52;GO;2015;7.64
11;RO;2015;7.53
12;AC;2015;4.58
13;AM;2015;5.95
14;RR;2015;11.45
15;PA;2015;6.37
16;AP;2015;4.63
17;TO;2015;6.46
21;MA;2015;4.23
22;PI;2015;4.03
23;CE;2015;5.55
24;RN;2015;5.3
25;PB;2015;5.46
26;PE;2015;4.81
27;AL;2015;5.59
28;SE;2015;6.12
29;BA;2015;5.1
31;MG;2015;3.96
32;ES;2015;7.25
33;RJ;2015;4.4
35;SP;2015;2.46
41;PR;2015;4.32
42;SC;2015;2.83
53;DF;2015;3.91
43;RS;2015;4.95
50;MS;2015;4.35
51;MT;2015;7.25
26;PE;2016;5.79
11;RO;2016;6.38
12;AC;2016;5.46
13;AM;2016;5.9
14;RR;2016;9.64
15;PA;2016;7.09
16;AP;2016;4.28
17;TO;2016;5.98
21;MA;2016;4.51
22;PI;2016;3
23;CE;2016;4.73
24;RN;2016;5.71
25;PB;2016;5.24
27;AL;2016;5.91
28;SE;2016;5.2
29;BA;2016;5.86
31;MG;2016;3.56
32;ES;2016;5.28
33;RJ;2016;4.84
35;SP;2016;2.21
41;PR;2016;4.18
42;SC;2016;3.08
43;RS;2016;5.34
50;MS;2016;5.92
51;MT;2016;6.3
52;GO;2016;7.02
53;DF;2016;4.26
53;DF;2017;3.02
11;RO;2017;7.23
12;AC;2017;7.95
13;AM;2017;5.76
14;RR;2017;10.05
15;PA;2017;7.42
16;AP;2017;6.65
17;TO;2017;4.99
21;MA;2017;3.58
22;PI;2017;3.11
23;CE;2017;8.06
24;RN;2017;8.37
25;PB;2017;4.28
26;PE;2017;6.32
27;AL;2017;6.46
28;SE;2017;6.61
29;BA;2017;6.44
31;MG;2017;3.66
32;ES;2017;7.58
33;RJ;2017;4.5
35;SP;2017;2.14
41;PR;2017;4.3
42;SC;2017;3.1
43;RS;2017;5.22
50;MS;2017;4.46
51;MT;2017;5.5
52;GO;2017;7.44
43;RS;2018;4.4
11;RO;2018;4.84
12;AC;2018;8.06
13;AM;2018;6.25
14;RR;2018;18.84
15;PA;2018;7.62
16;AP;2018;3.62
17;TO;2018;6.1
21;MA;2018;3.42
22;PI;2018;3.1
23;CE;2018;10.17
24;RN;2018;5.72
25;PB;2018;3.97
26;PE;2018;4.86
27;AL;2018;3.88
28;SE;2018;3.4
29;BA;2018;5.62
31;MG;2018;3.27
32;ES;2018;4.96
33;RJ;2018;4.24
35;SP;2018;1.95
41;PR;2018;3.65
42;SC;2018;2.55
50;MS;2018;4.77
51;MT;2018;5.19
52;GO;2018;6.31
53;DF;2018;3.56
51;MT;2019;4.89
11;RO;2019;4.9
12;AC;2019;7.26
13;AM;2019;5.72
14;RR;2019;11.24
15;PA;2019;5.41
16;AP;2019;4.5
17;TO;2019;4.61
21;MA;2019;3.17
22;PI;2019;2.79
23;CE;2019;4.7
24;RN;2019;5.45
25;PB;2019;3.46
53;DF;2019;3.51
26;PE;2019;4.11
27;AL;2019;5.18
28;SE;2019;4.46
29;BA;2019;5.18
31;MG;2019;2.75
32;ES;2019;4.75
33;RJ;2019;2.41
35;SP;2019;1.72
41;PR;2019;3.5
52;GO;2019;4.55
42;SC;2019;3.16
43;RS;2019;4.04
50;MS;2019;4.36
