Idade;Faixa;Genero;Etnia;PCD;Estado;UF
28;25-29;Feminino;Branca;Não;São Paulo (SP);SP
39;35-39;Masculino;Parda;Não;São Paulo (SP);SP
31;30-34;Feminino;Branca;Não;Minas Gerais (MG);MG
25;25-29;Masculino;Parda;Não;São Paulo (SP);SP
43;40-44;Masculino;Branca;Não;Bahia (BA);BA
35;35-39;Masculino;Branca;Não;São Paulo (SP);SP
44;40-44;Feminino;Branca;Não;São Paulo (SP);SP
31;30-34;Feminino;Branca;Não;São Paulo (SP);SP
43;40-44;Masculino;Branca;Não;;
34;30-34;Masculino;Indígena;Não;Santa Catarina (SC);SC
32;30-34;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ
48;45-49;Masculino;Branca;Não;Paraná (PR);PR
29;25-29;Feminino;Amarela;Não;Paraná (PR);PR
33;30-34;Masculino;Branca;Não;São Paulo (SP);SP
33;30-34;Feminino;Branca;Sim;São Paulo (SP);SP
26;25-29;Feminino;Branca;Não;São Paulo (SP);SP
50;50-54;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
28;25-29;Feminino;Parda;Não;Minas Gerais (MG);MG
22;22-24;Masculino;Parda;Não;Espírito Santo (ES);ES
31;30-34;Feminino;Parda;Não;Paraná (PR);PR
37;35-39;Feminino;Branca;Não;Paraná (PR);PR
30;30-34;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ
36;35-39;Feminino;Preta;Não;Rio de Janeiro (RJ);RJ
;55+;Masculino;Branca;Não;São Paulo (SP);SP
40;40-44;Masculino;Amarela;Não;São Paulo (SP);SP
51;50-54;Feminino;Branca;Não;São Paulo (SP);SP
27;25-29;Masculino;Parda;Não;Pernambuco (PE);PE
29;25-29;Masculino;Branca;Não;São Paulo (SP);SP
32;30-34;Feminino;Branca;Não;São Paulo (SP);SP
29;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG
24;22-24;Masculino;Branca;Não;São Paulo (SP);SP
31;30-34;Feminino;Parda;Não;São Paulo (SP);SP
26;25-29;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
31;30-34;Feminino;Preta;Não;;
44;40-44;Masculino;Amarela;Não;São Paulo (SP);SP
28;25-29;Masculino;Branca;Não;Santa Catarina (SC);SC
33;30-34;Masculino;Parda;Não;;
39;35-39;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ
25;25-29;Feminino;Branca;Não;São Paulo (SP);SP
28;25-29;Masculino;Branca;Não;São Paulo (SP);SP
31;30-34;Masculino;Branca;Não;Paraná (PR);PR
20;17-21;Masculino;Parda;Não;São Paulo (SP);SP
25;25-29;Masculino;Preta;Não;Minas Gerais (MG);MG
24;22-24;Masculino;Parda;Não;São Paulo (SP);SP
30;30-34;Feminino;Outra;Não;Minas Gerais (MG);MG
27;25-29;Masculino;Preta;Não;Paraná (PR);PR
26;25-29;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
22;22-24;Masculino;Parda;Não;Paraíba (PB);PB
;55+;Masculino;Preta;Não;São Paulo (SP);SP
32;30-34;Masculino;Branca;Não;Minas Gerais (MG);MG
37;35-39;Feminino;Branca;Não;Rio de Janeiro (RJ);RJ
31;30-34;Masculino;Branca;Não;São Paulo (SP);SP
27;25-29;Masculino;Parda;Não;São Paulo (SP);SP
31;30-34;Masculino;Parda;Não;Pernambuco (PE);PE
27;25-29;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
33;30-34;Masculino;Branca;Não;Rio Grande do Norte (RN);RN
23;22-24;Masculino;Branca;Não;Sergipe (SE);SE
22;22-24;Masculino;Preta;Não;São Paulo (SP);SP
42;40-44;Masculino;Preta;Não;São Paulo (SP);SP
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
34;30-34;Masculino;Branca;Não;;
36;35-39;Feminino;Prefiro não informar;Não;Mato Grosso (MT);MT
21;17-21;Feminino;Parda;Não;Santa Catarina (SC);SC
29;25-29;Feminino;Parda;Não;São Paulo (SP);SP
29;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG
27;25-29;Feminino;Parda;Não;São Paulo (SP);SP
25;25-29;Masculino;Parda;Não;São Paulo (SP);SP
30;30-34;Masculino;Parda;Não;São Paulo (SP);SP
25;25-29;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
29;25-29;Masculino;Parda;Não;Bahia (BA);BA
24;22-24;Masculino;Branca;Não;Paraná (PR);PR
24;22-24;Masculino;Branca;Não;São Paulo (SP);SP
31;30-34;Masculino;Branca;Não;São Paulo (SP);SP
36;35-39;Masculino;Branca;Não;Distrito Federal (DF);DF
31;30-34;Masculino;Parda;Não;Minas Gerais (MG);MG
33;30-34;Masculino;Branca;Não;São Paulo (SP);SP
47;45-49;Feminino;Preta;Não;São Paulo (SP);SP
22;22-24;Masculino;Preta;Não;Rio de Janeiro (RJ);RJ
26;25-29;Masculino;Branca;Não;Espírito Santo (ES);ES
26;25-29;Masculino;Parda;Não;Rio Grande do Norte (RN);RN
39;35-39;Masculino;Branca;Não;São Paulo (SP);SP
30;30-34;Masculino;Parda;Não;Bahia (BA);BA
;55+;Masculino;Parda;Não;São Paulo (SP);SP
31;30-34;Feminino;Branca;Não;Santa Catarina (SC);SC
41;40-44;Masculino;Branca;Não;São Paulo (SP);SP
37;35-39;Feminino;Amarela;Não;São Paulo (SP);SP
26;25-29;Feminino;Branca;Não;Rio de Janeiro (RJ);RJ
32;30-34;Masculino;Branca;Não;São Paulo (SP);SP
;55+;Masculino;Branca;Não;Pernambuco (PE);PE
28;25-29;Feminino;Branca;Não;Minas Gerais (MG);MG
24;22-24;Masculino;Parda;Não;São Paulo (SP);SP
32;30-34;Feminino;Branca;Não;São Paulo (SP);SP
34;30-34;Masculino;Branca;Não;São Paulo (SP);SP
44;40-44;Feminino;Preta;Não;Rio Grande do Sul (RS);RS
26;25-29;Masculino;Branca;Não;;
31;30-34;Feminino;Preta;Não;Bahia (BA);BA
34;30-34;Masculino;Amarela;Não;São Paulo (SP);SP
41;40-44;Masculino;Branca;Não;São Paulo (SP);SP
31;30-34;Masculino;Branca;Não;São Paulo (SP);SP
39;35-39;Feminino;Preta;Não;Minas Gerais (MG);MG
29;25-29;Masculino;Branca;Não;São Paulo (SP);SP
36;35-39;Feminino;Preta;Não;Rio de Janeiro (RJ);RJ
22;22-24;Feminino;Parda;Não;São Paulo (SP);SP
28;25-29;Masculino;Preta;Não;Minas Gerais (MG);MG
29;25-29;Feminino;Branca;Não;Rio Grande do Sul (RS);RS
31;30-34;Masculino;Parda;Não;São Paulo (SP);SP
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
32;30-34;Masculino;Branca;Não;Minas Gerais (MG);MG
25;25-29;Feminino;Parda;Não;Pernambuco (PE);PE
33;30-34;Masculino;Branca;Não;São Paulo (SP);SP
33;30-34;Masculino;Branca;Não;Paraná (PR);PR
29;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP
33;30-34;Masculino;Branca;Não;Paraná (PR);PR
24;22-24;Masculino;Branca;Não;Santa Catarina (SC);SC
34;30-34;Masculino;Branca;Não;Minas Gerais (MG);MG
32;30-34;Masculino;Parda;Não;Paraná (PR);PR
46;45-49;Feminino;Branca;Sim;São Paulo (SP);SP
34;30-34;Masculino;Branca;Não;Minas Gerais (MG);MG
42;40-44;Masculino;Branca;Não;Santa Catarina (SC);SC
21;17-21;Masculino;Branca;Não;São Paulo (SP);SP
32;30-34;Masculino;Amarela;Não;Rio de Janeiro (RJ);RJ
36;35-39;Masculino;Branca;Não;Espírito Santo (ES);ES
39;35-39;Masculino;Branca;Não;Espírito Santo (ES);ES
41;40-44;Masculino;Branca;Não;São Paulo (SP);SP
31;30-34;Feminino;Branca;Não;São Paulo (SP);SP
35;35-39;Masculino;Branca;Não;Distrito Federal (DF);DF
29;25-29;Masculino;Preta;Não;Paraná (PR);PR
26;25-29;Feminino;Branca;Não;São Paulo (SP);SP
24;22-24;Masculino;Preta;Não;São Paulo (SP);SP
29;25-29;Masculino;Parda;Não;Alagoas (AL);AL
21;17-21;Masculino;Branca;Não;São Paulo (SP);SP
33;30-34;Masculino;Branca;Não;Paraná (PR);PR
29;25-29;Feminino;Parda;Não;Minas Gerais (MG);MG
30;30-34;Masculino;Branca;Não;São Paulo (SP);SP
32;30-34;Masculino;Branca;Não;;
26;25-29;Masculino;Branca;Não;Goiás (GO);GO
34;30-34;Feminino;Parda;Não;São Paulo (SP);SP
34;30-34;Feminino;Parda;Não;Rio Grande do Sul (RS);RS
20;17-21;Masculino;Branca;Não;Minas Gerais (MG);MG
22;22-24;Masculino;Parda;Não;São Paulo (SP);SP
45;45-49;Masculino;Parda;Não;São Paulo (SP);SP
24;22-24;Masculino;Branca;Não;São Paulo (SP);SP
26;25-29;Feminino;Parda;Não;São Paulo (SP);SP
26;25-29;Feminino;Branca;Não;Rio Grande do Sul (RS);RS
27;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG
34;30-34;Masculino;Parda;Não;São Paulo (SP);SP
31;30-34;Masculino;Branca;Não;São Paulo (SP);SP
50;50-54;Masculino;Branca;Não;São Paulo (SP);SP
27;25-29;Masculino;Parda;Não;São Paulo (SP);SP
34;30-34;Masculino;Parda;Não;Bahia (BA);BA
23;22-24;Masculino;Preta;Não;São Paulo (SP);SP
45;45-49;Masculino;Branca;Não;Minas Gerais (MG);MG
33;30-34;Masculino;Branca;Não;São Paulo (SP);SP
21;17-21;Masculino;Branca;Não;Santa Catarina (SC);SC
30;30-34;Masculino;Branca;Não;São Paulo (SP);SP
26;25-29;Feminino;Branca;Não;Minas Gerais (MG);MG
35;35-39;Masculino;Amarela;Não;;
27;25-29;;Branca;Não;Paraná (PR);PR
31;30-34;Masculino;Branca;Não;São Paulo (SP);SP
30;30-34;Masculino;Branca;Não;São Paulo (SP);SP
40;40-44;Feminino;Branca;Não;Pernambuco (PE);PE
24;22-24;Feminino;Branca;Não;São Paulo (SP);SP
32;30-34;Feminino;Branca;Não;Rio de Janeiro (RJ);RJ
31;30-34;Masculino;Branca;Não;Paraná (PR);PR
34;30-34;Masculino;Preta;Não;São Paulo (SP);SP
22;22-24;Masculino;Branca;Não;São Paulo (SP);SP
29;25-29;Feminino;Branca;Não;Bahia (BA);BA
36;35-39;Masculino;Branca;Não;São Paulo (SP);SP
44;40-44;Feminino;Preta;Não;São Paulo (SP);SP
22;22-24;Masculino;Amarela;Não;Pernambuco (PE);PE
29;25-29;Masculino;Branca;Não;São Paulo (SP);SP
18;17-21;Masculino;Branca;Não;São Paulo (SP);SP
30;30-34;Masculino;Branca;Não;São Paulo (SP);SP
28;25-29;Feminino;Branca;Não;Pernambuco (PE);PE
26;25-29;Feminino;Branca;Não;São Paulo (SP);SP
27;25-29;Masculino;Amarela;Não;São Paulo (SP);SP
24;22-24;Masculino;Parda;Não;Alagoas (AL);AL
31;30-34;Masculino;Parda;Não;São Paulo (SP);SP
24;22-24;Feminino;Preta;Não;São Paulo (SP);SP
31;30-34;Masculino;Branca;Não;Santa Catarina (SC);SC
33;30-34;Masculino;Parda;Não;Distrito Federal (DF);DF
21;17-21;Masculino;Branca;Não;Distrito Federal (DF);DF
30;30-34;Masculino;Parda;Não;Espírito Santo (ES);ES
30;30-34;Masculino;Indígena;Não;São Paulo (SP);SP
33;30-34;Masculino;Parda;Não;São Paulo (SP);SP
34;30-34;Masculino;Prefiro não informar;Não;Sergipe (SE);SE
27;25-29;Masculino;Branca;Não;São Paulo (SP);SP
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
28;25-29;Masculino;Parda;Não;Rio Grande do Sul (RS);RS
31;30-34;Masculino;Branca;Não;São Paulo (SP);SP
33;30-34;Masculino;Branca;Não;Minas Gerais (MG);MG
37;35-39;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
28;25-29;Feminino;Branca;Não;Minas Gerais (MG);MG
50;50-54;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
31;30-34;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP
30;30-34;Masculino;Parda;Não;São Paulo (SP);SP
33;30-34;Feminino;Parda;Não;São Paulo (SP);SP
36;35-39;Masculino;Branca;Não;São Paulo (SP);SP
;55+;Feminino;Branca;Não;Santa Catarina (SC);SC
22;22-24;Masculino;Preta;Não;;
25;25-29;Masculino;Branca;Não;Espírito Santo (ES);ES
42;40-44;Masculino;Branca;Não;Espírito Santo (ES);ES
27;25-29;Feminino;Branca;Não;Rio de Janeiro (RJ);RJ
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
30;30-34;Feminino;Branca;Não;Rio Grande do Sul (RS);RS
24;22-24;Feminino;Amarela;Não;Minas Gerais (MG);MG
29;25-29;Masculino;Branca;Não;São Paulo (SP);SP
26;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG
29;25-29;Masculino;Branca;Não;São Paulo (SP);SP
37;35-39;Masculino;Branca;Não;São Paulo (SP);SP
31;30-34;Masculino;Preta;Não;Ceará (CE);CE
29;25-29;Feminino;Outra;Não;Rio de Janeiro (RJ);RJ
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP
27;25-29;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
29;25-29;Feminino;Branca;Não;São Paulo (SP);SP
42;40-44;Masculino;Parda;Não;Bahia (BA);BA
32;30-34;Masculino;Branca;Não;;
45;45-49;Feminino;Branca;Não;Distrito Federal (DF);DF
38;35-39;Masculino;Branca;Não;Minas Gerais (MG);MG
41;40-44;Masculino;Branca;Não;Minas Gerais (MG);MG
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
;55+;Masculino;Branca;Não;São Paulo (SP);SP
28;25-29;Masculino;Branca;Não;São Paulo (SP);SP
23;22-24;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
25;25-29;Masculino;Parda;Não;Minas Gerais (MG);MG
38;35-39;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
32;30-34;Masculino;Parda;Não;Goiás (GO);GO
35;35-39;Masculino;Parda;Não;São Paulo (SP);SP
24;22-24;Feminino;Branca;Não;São Paulo (SP);SP
25;25-29;Masculino;Preta;Não;Paraná (PR);PR
32;30-34;Masculino;Parda;Não;São Paulo (SP);SP
33;30-34;Masculino;Parda;Não;Paraná (PR);PR
24;22-24;Masculino;Branca;Não;Paraná (PR);PR
28;25-29;Feminino;Parda;Não;Rio de Janeiro (RJ);RJ
24;22-24;Masculino;Outra;Não;São Paulo (SP);SP
31;30-34;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
34;30-34;Feminino;Branca;Não;São Paulo (SP);SP
38;35-39;Masculino;Branca;Não;São Paulo (SP);SP
43;40-44;Masculino;Branca;Não;São Paulo (SP);SP
50;50-54;Masculino;Branca;Não;São Paulo (SP);SP
22;22-24;Masculino;Parda;Não;Minas Gerais (MG);MG
33;30-34;Feminino;Branca;Não;Rio de Janeiro (RJ);RJ
26;25-29;Masculino;Branca;Não;Paraná (PR);PR
28;25-29;Masculino;Parda;Não;Minas Gerais (MG);MG
38;35-39;Masculino;Parda;Não;Paraná (PR);PR
45;45-49;Feminino;Branca;Não;São Paulo (SP);SP
32;30-34;Masculino;Branca;Não;São Paulo (SP);SP
22;22-24;Masculino;Branca;Não;Santa Catarina (SC);SC
30;30-34;Masculino;Amarela;Não;São Paulo (SP);SP
31;30-34;Masculino;Parda;Não;;
31;30-34;Feminino;Branca;Não;Ceará (CE);CE
34;30-34;Masculino;Branca;Não;Santa Catarina (SC);SC
25;25-29;Masculino;Parda;Não;São Paulo (SP);SP
32;30-34;Feminino;Parda;Não;Santa Catarina (SC);SC
35;35-39;Feminino;Parda;Não;São Paulo (SP);SP
36;35-39;Masculino;Branca;Não;São Paulo (SP);SP
34;30-34;Masculino;Branca;Não;;
36;35-39;Feminino;Amarela;Não;São Paulo (SP);SP
35;35-39;Masculino;Branca;Não;Paraná (PR);PR
54;50-54;Masculino;Parda;Não;São Paulo (SP);SP
37;35-39;Masculino;Branca;Não;Paraná (PR);PR
44;40-44;Masculino;Branca;Não;Goiás (GO);GO
40;40-44;Masculino;Parda;Não;Distrito Federal (DF);DF
25;25-29;Masculino;Preta;Não;São Paulo (SP);SP
23;22-24;Masculino;Amarela;Não;São Paulo (SP);SP
38;35-39;Feminino;Branca;Não;Paraná (PR);PR
31;30-34;Masculino;Parda;Não;Rio Grande do Sul (RS);RS
29;25-29;Masculino;Branca;Não;São Paulo (SP);SP
38;35-39;Feminino;Branca;Não;São Paulo (SP);SP
41;40-44;Masculino;Branca;Não;Minas Gerais (MG);MG
32;30-34;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
30;30-34;Masculino;Branca;Não;São Paulo (SP);SP
22;22-24;Masculino;Parda;Não;São Paulo (SP);SP
26;25-29;Feminino;Branca;Não;Minas Gerais (MG);MG
25;25-29;Masculino;Parda;Não;São Paulo (SP);SP
32;30-34;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ
29;25-29;Masculino;Branca;Não;Pernambuco (PE);PE
32;30-34;Masculino;Branca;Não;São Paulo (SP);SP
41;40-44;Masculino;Branca;Não;Minas Gerais (MG);MG
25;25-29;Masculino;Amarela;Não;São Paulo (SP);SP
28;25-29;Feminino;Parda;Não;Paraíba (PB);PB
25;25-29;Masculino;Preta;Não;Rio de Janeiro (RJ);RJ
37;35-39;Masculino;Parda;Não;São Paulo (SP);SP
35;35-39;Feminino;Branca;Não;Sergipe (SE);SE
29;25-29;Masculino;Branca;Não;São Paulo (SP);SP
22;22-24;Feminino;Branca;Não;São Paulo (SP);SP
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP
32;30-34;Masculino;Parda;Não;São Paulo (SP);SP
35;35-39;Masculino;Preta;Não;São Paulo (SP);SP
29;25-29;Feminino;Parda;Não;Distrito Federal (DF);DF
34;30-34;Masculino;Branca;Não;Paraná (PR);PR
31;30-34;Masculino;Parda;Não;Paraná (PR);PR
45;45-49;Masculino;Branca;Não;São Paulo (SP);SP
34;30-34;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ
27;25-29;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
25;25-29;Masculino;Branca;Não;Santa Catarina (SC);SC
26;25-29;Masculino;Branca;Não;Bahia (BA);BA
23;22-24;Masculino;Parda;Não;Ceará (CE);CE
26;25-29;Feminino;Branca;Não;Goiás (GO);GO
49;45-49;Feminino;Branca;Não;Paraná (PR);PR
49;45-49;Feminino;Branca;Não;Paraná (PR);PR
37;35-39;Masculino;Branca;Não;São Paulo (SP);SP
35;35-39;Masculino;Parda;Não;São Paulo (SP);SP
37;35-39;Masculino;Branca;Não;São Paulo (SP);SP
39;35-39;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
21;17-21;Masculino;Parda;Não;Pará (PA);PA
32;30-34;Masculino;Branca;Não;São Paulo (SP);SP
46;45-49;Feminino;Branca;Não;São Paulo (SP);SP
;55+;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
41;40-44;Feminino;Preta;Não;Pernambuco (PE);PE
45;45-49;Masculino;Branca;Não;São Paulo (SP);SP
32;30-34;Masculino;Branca;Não;Paraná (PR);PR
36;35-39;Masculino;Branca;Não;Distrito Federal (DF);DF
26;25-29;Masculino;Parda;Não;São Paulo (SP);SP
22;22-24;Feminino;Branca;Não;Rio Grande do Sul (RS);RS
28;25-29;Feminino;Branca;Não;Paraná (PR);PR
29;25-29;Feminino;Branca;Não;Rio de Janeiro (RJ);RJ
35;35-39;Masculino;Branca;Não;São Paulo (SP);SP
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP
32;30-34;Feminino;Preta;Não;;
48;45-49;Masculino;Parda;Sim;São Paulo (SP);SP
33;30-34;Feminino;Parda;Não;;
35;35-39;Feminino;Parda;Não;;
27;25-29;Feminino;Branca;Não;São Paulo (SP);SP
37;35-39;Masculino;Parda;Não;Maranhão (MA);MA
32;30-34;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
38;35-39;Feminino;Branca;Não;São Paulo (SP);SP
54;50-54;Masculino;Parda;Não;Bahia (BA);BA
39;35-39;Masculino;Parda;Não;Pará (PA);PA
43;40-44;Masculino;Parda;Não;São Paulo (SP);SP
35;35-39;Masculino;Preta;Não;Minas Gerais (MG);MG
31;30-34;Masculino;Branca;Não;São Paulo (SP);SP
23;22-24;Masculino;Branca;Não;São Paulo (SP);SP
41;40-44;Masculino;Branca;Não;São Paulo (SP);SP
23;22-24;Masculino;Preta;Não;Pernambuco (PE);PE
37;35-39;Masculino;Parda;Não;São Paulo (SP);SP
54;50-54;Feminino;Parda;Não;Minas Gerais (MG);MG
31;30-34;Feminino;Branca;Não;;
29;25-29;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
27;25-29;Masculino;Branca;Não;São Paulo (SP);SP
35;35-39;Masculino;Branca;Não;São Paulo (SP);SP
22;22-24;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
20;17-21;Masculino;Branca;Não;Espírito Santo (ES);ES
45;45-49;Feminino;Branca;Não;Paraná (PR);PR
33;30-34;Masculino;Branca;Não;São Paulo (SP);SP
39;35-39;Feminino;Parda;Não;Distrito Federal (DF);DF
27;25-29;Feminino;Branca;Não;São Paulo (SP);SP
28;25-29;Masculino;Branca;Não;Paraná (PR);PR
;55+;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
;55+;Masculino;Branca;Não;São Paulo (SP);SP
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
27;25-29;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ
27;25-29;Masculino;Parda;Não;Santa Catarina (SC);SC
49;45-49;Masculino;Branca;Não;Pernambuco (PE);PE
52;50-54;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
34;30-34;Feminino;Parda;Não;São Paulo (SP);SP
40;40-44;Masculino;Branca;Não;São Paulo (SP);SP
32;30-34;Masculino;Branca;Não;Minas Gerais (MG);MG
28;25-29;Masculino;Branca;Não;São Paulo (SP);SP
39;35-39;Masculino;Parda;Não;São Paulo (SP);SP
33;30-34;Masculino;Branca;Não;Santa Catarina (SC);SC
47;45-49;Feminino;Branca;Não;Rio Grande do Sul (RS);RS
46;45-49;Masculino;Parda;Não;Bahia (BA);BA
25;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG
26;25-29;Masculino;Branca;Não;Mato Grosso (MT);MT
45;45-49;Masculino;Branca;Não;São Paulo (SP);SP
22;22-24;Masculino;Indígena;Não;São Paulo (SP);SP
31;30-34;Feminino;Branca;Não;Rio de Janeiro (RJ);RJ
44;40-44;Feminino;Parda;Não;Bahia (BA);BA
27;25-29;Masculino;Parda;Não;Paraná (PR);PR
30;30-34;Masculino;Preta;Não;São Paulo (SP);SP
37;35-39;Feminino;Branca;Não;São Paulo (SP);SP
29;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG
20;17-21;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
